Stock,Transaction Date,Buy/Sell,Type,Amount,Senator,Price
CSCO,2015-12-11,Sale,Stock,"$1,001 - $15,000",Roy Blunt,20.355466842651367
PM,2015-12-04,Sale,Stock,"$1,001 - $15,000",Roy Blunt,59.46037673950195
CSCO,2015-12-11,Sale,Stock,"$1,001 - $15,000",Roy Blunt,20.355466842651367
PM,2015-12-04,Sale,Stock,"$1,001 - $15,000",Roy Blunt,59.46038818359375
AMBP,2022-06-06,Purchase,Stock,"$50,001 - $100,000",Roy Blunt,5.815842628479004
NRDY,2021-09-27,Purchase,Stock,"$1,001 - $15,000",Roy Blunt,10.0600004196167
PM,2021-11-24,Sale,Stock,"$15,001 - $50,000",Roy Blunt,80.90410614013672
FEP,2023-08-29,Sale,Stock,"$15,001 - $50,000",John Boozman,34.67538833618164
BBEU,2023-08-29,Purchase,Stock,"$15,001 - $50,000",John Boozman,53.668636322021484
GWW,2022-07-11,Purchase,Stock,"$1,001 - $15,000",Shelley m Capito,471.02374267578125
COST,2022-07-01,Purchase,Stock,"$1,001 - $15,000",Shelley m Capito,481.2928771972656
GDDY,2017-12-20,Purchase,Stock,"$1,001 - $15,000",Shelley m Capito,50.400001525878906
CSX,2017-12-20,Purchase,Stock,"$1,001 - $15,000",Shelley m Capito,17.143495559692383
ENB,2017-12-19,Purchase,Stock,"$1,001 - $15,000",Shelley m Capito,27.845718383789062
VFC,2016-04-19,Purchase,Stock,"$1,001 - $15,000",Shelley m Capito,47.733821868896484
MMM,2016-04-19,Purchase,Stock,"$1,001 - $15,000",Shelley m Capito,131.5709686279297
PAYX,2016-04-19,Purchase,Stock,"$1,001 - $15,000",Shelley m Capito,42.791473388671875
NEE,2016-04-19,Purchase,Stock,"$1,001 - $15,000",Shelley m Capito,24.639265060424805
MSFT,2016-04-19,Purchase,Stock,"$1,001 - $15,000",Shelley m Capito,50.5741081237793
MDT,2016-04-19,Purchase,Stock,"$1,001 - $15,000",Shelley m Capito,65.50653076171875
LOW,2016-04-19,Purchase,Stock,"$1,001 - $15,000",Shelley m Capito,66.96222686767578
JNJ,2016-04-19,Purchase,Stock,"$1,001 - $15,000",Shelley m Capito,92.21524810791016
SJM,2016-04-19,Purchase,Stock,"$1,001 - $15,000",Shelley m Capito,104.91609954833984
ITW,2016-04-19,Purchase,Stock,"$1,001 - $15,000",Shelley m Capito,88.6053695678711
GD,2016-04-19,Purchase,Stock,"$1,001 - $15,000",Shelley m Capito,115.44318389892578
CLX,2016-04-19,Purchase,Stock,"$1,001 - $15,000",Shelley m Capito,104.41796112060547
CB,2016-04-19,Purchase,Stock,"$1,001 - $15,000",Shelley m Capito,104.96659851074219
BDX,2016-04-19,Purchase,Stock,"$1,001 - $15,000",Shelley m Capito,138.9484405517578
ABT,2016-04-19,Purchase,Stock,"$1,001 - $15,000",Shelley m Capito,38.21856689453125
NEE,2022-05-26,Sale,Stock,"$1,001 - $15,000",Shelley m Capito,72.43559265136719
WEC,2022-05-25,Sale,Stock,"$1,001 - $15,000",Shelley m Capito,101.59635162353516
F,2016-06-13,Purchase,Stock,"$1,001 - $15,000",Shelley m Capito,9.148633003234863
