Stock,Transaction Date,Buy/Sell,Type,Amount,Senator
"Corpus Christi Tex Indpt Sch D Ultd Tax Bldg
Rate/Coupon: 4.00%
Matures: 08/15/2032",11/7/2019,Purchase,Municipal Security,"$15,001 - $50,000",Lamar Alexander
"Tennessee HSG Dev Agy Resident Residential FIN Prog BDS
Rate/Coupon: 2.70%
Matures: 01/01/2024",10/30/2017,Purchase,Municipal Security,"$50,001 - $100,000",Lamar Alexander
"Marion County Tenn GO SCH REF BDS
Rate/Coupon: 4.00%
Matures: 04/01/2021",7/11/2017,Purchase,Municipal Security,"$50,001 - $100,000",Lamar Alexander
"Little Star Partnership
Company: Little Star Partnership  (Victoria, Texas)
Description: Rental Real Estate",5/31/2019,Purchase,Other Securities,"$100,001 - $250,000",Lamar Alexander
"Buhler Telferner Partnership
Company: Buhler Telferner Partnership  (Victoria, Texas)
Description: Rental real estate",5/31/2019,Purchase,Other Securities,"$500,001 - $1,000,000",Lamar Alexander
"Starboard Corporation - Commercial Real Estate
Company: Starboard Corporation  (Victoria, TX)
Description: Commercial rental real estate",5/31/2019,Sale,Non-Public Stock,"$500,001 - $1,000,000",Lamar Alexander
"McKinney Texas Indpt Sch Dist
Rate/Coupon: 5.00%
Matures: 02/15/2028",11/13/2019,Purchase,Municipal Security,"$15,001 - $50,000",Lamar Alexander
"Dickson TN Go Bond
Rate/Coupon: 5.0
Matures: 9/1/2015",9/26/2014,Sale,Municipal Security,"$15,001 - $50,000",Lamar Alexander
"Metro Govt Nashville TN Go Bond
Rate/Coupon: 5.0
Matures: 10/01/2016",6/1/2014,Sale,Municipal Security,"$15,001 - $50,000",Lamar Alexander
"Williamson County TN
Rate/Coupon: 4.5
Matures: 05/01/2018",5/1/2014,Sale,Municipal Security,"$15,001 - $50,000",Lamar Alexander
"Hendersonville Tenn Util Distric Water and Sewer
Rate/Coupon: 4.0
Matures: 08/01/2023",1/29/2014,Purchase,Municipal Security,"$50,001 - $100,000",Lamar Alexander
"Bristol TN Electric
Rate/Coupon: 5.0
Matures: 09/01/2026",10/17/2013,Purchase,Municipal Security,"$50,001 - $100,000",Lamar Alexander
"Metro Gov Nashville & Davidson
Rate/Coupon: 5.0
Matures: 10/01/2016",5/17/2013,Purchase,Municipal Security,"$50,001 - $100,000",Lamar Alexander
"Houston Texas Utility Board
Rate/Coupon: .94
Matures: 05/15/2034",3/7/2013,Purchase,Municipal Security,"$15,001 - $50,000",Lamar Alexander
"Memphis TN Sewer System
Rate/Coupon: 4.2
Matures: 10/01/2022",3/6/2013,Purchase,Municipal Security,"$15,001 - $50,000",Lamar Alexander
"Tullahoma TN
Rate/Coupon: 1.0
Matures: 10/01/2013",2/26/2013,Purchase,Municipal Security,"$50,001 - $100,000",Lamar Alexander
"Memphis TN Electric System GO Bond
Rate/Coupon: 5.0
Matures: 12/01/2017",12/1/2013,Sale,Municipal Security,"$15,001 - $50,000",Lamar Alexander
"Houston Texas Utility Board
Rate/Coupon: .94
Matures: 05/15/2034",3/26/2013,Sale,Municipal Security,"$15,001 - $50,000",Lamar Alexander
"Metro Govt TN GO
Rate/Coupon: 4.5
Matures: 05/15/2030",6/14/2012,Sale,Municipal Security,"$15,001 - $50,000",Lamar Alexander
"Memphis-Shelby County
Rate/Coupon: 5.5
Matures: 11/01/2017",11/1/2012,Sale,Municipal Security,"$50,001 - $100,000",Lamar Alexander
"Franklin County TN Health
Rate/Coupon: 4.0
Matures: 09/01/2023",10/24/2012,Purchase,Municipal Security,"$50,001 - $100,000",Lamar Alexander
"Kingsport Tenn GO Bond
Rate/Coupon: 3.00%
Matures: 03/01/2029",6/14/2016,Purchase,Municipal Security,"$50,001 - $100,000",Lamar Alexander
"Montgomery County
Rate/Coupon: 5.00
Matures: 04/01/2018",4/1/2016,Sale,Municipal Security,"$15,001 - $50,000",Lamar Alexander
"Shelby County Tenn Health EDL & Rev
Rate/Coupon: 5.25%
Matures: 09/01/2023",9/8/2016,Purchase,Municipal Security,"$50,001 - $100,000",Lamar Alexander
"Shelby County Tenn Health EDL & Rev
Rate/Coupon: 5.25%
Matures: 09/01/2023",6/15/2017,Sale,Municipal Security,"$50,001 - $100,000",Lamar Alexander
