Stock,Transaction Date,Buy/Sell,Type,Amount,Senator
RGC,2017-03-28,Sale,Stock,"$500,001 - $1,000,000",Michael f Bennet
RGC,2017-12-08,Sale,Stock,"$500,001 - $1,000,000",Michael f Bennet
CSCO,2015-12-11,Sale,Stock,"$1,001 - $15,000",Roy Blunt
PM,2015-12-04,Sale,Stock,"$1,001 - $15,000",Roy Blunt
PMI,2021-11-24,Sale,Stock,"$15,001 - $50,000",Roy Blunt
CSCO,2015-12-11,Sale,Stock,"$1,001 - $15,000",Roy Blunt
PM,2015-12-04,Sale,Stock,"$1,001 - $15,000",Roy Blunt
AMBP,2022-06-06,Purchase,Stock,"$50,001 - $100,000",Roy Blunt
KH,2022-06-06,Sale,Stock,"$15,001 - $50,000",Roy Blunt
NRDY,2021-09-27,Purchase,Stock,"$1,001 - $15,000",Roy Blunt
PM,2021-11-24,Sale,Stock,"$15,001 - $50,000",Roy Blunt
FEP,2023-08-29,Sale,Stock,"$15,001 - $50,000",John Boozman
BBEU,2023-08-29,Purchase,Stock,"$15,001 - $50,000",John Boozman
RNWK,2016-04-28,Sale,Stock,"$1,001 - $15,000",Maria Cantwell
RNWK,2022-12-28,Sale,Stock,"$15,001 - $50,000",Maria Cantwell
GWW,2022-07-11,Purchase,Stock,"$1,001 - $15,000",Shelley m Capito
COST,2022-07-01,Purchase,Stock,"$1,001 - $15,000",Shelley m Capito
GDDY,2017-12-20,Purchase,Stock,"$1,001 - $15,000",Shelley m Capito
CSX,2017-12-20,Purchase,Stock,"$1,001 - $15,000",Shelley m Capito
ENB,2017-12-19,Purchase,Stock,"$1,001 - $15,000",Shelley m Capito
VFC,2016-04-19,Purchase,Stock,"$1,001 - $15,000",Shelley m Capito
UTX,2016-04-19,Purchase,Stock,"$1,001 - $15,000",Shelley m Capito
MMM,2016-04-19,Purchase,Stock,"$1,001 - $15,000",Shelley m Capito
PAYX,2016-04-19,Purchase,Stock,"$1,001 - $15,000",Shelley m Capito
NEE,2016-04-19,Purchase,Stock,"$1,001 - $15,000",Shelley m Capito
MSFT,2016-04-19,Purchase,Stock,"$1,001 - $15,000",Shelley m Capito
MDT,2016-04-19,Purchase,Stock,"$1,001 - $15,000",Shelley m Capito
LOW,2016-04-19,Purchase,Stock,"$1,001 - $15,000",Shelley m Capito
JNJ,2016-04-19,Purchase,Stock,"$1,001 - $15,000",Shelley m Capito
SJM,2016-04-19,Purchase,Stock,"$1,001 - $15,000",Shelley m Capito
ITW,2016-04-19,Purchase,Stock,"$1,001 - $15,000",Shelley m Capito
GD,2016-04-19,Purchase,Stock,"$1,001 - $15,000",Shelley m Capito
CLX,2016-04-19,Purchase,Stock,"$1,001 - $15,000",Shelley m Capito
CB,2016-04-19,Purchase,Stock,"$1,001 - $15,000",Shelley m Capito
BDX,2016-04-19,Purchase,Stock,"$1,001 - $15,000",Shelley m Capito
ABT,2016-04-19,Purchase,Stock,"$1,001 - $15,000",Shelley m Capito
NEE,2022-05-26,Sale,Stock,"$1,001 - $15,000",Shelley m Capito
WEC,2022-05-25,Sale,Stock,"$1,001 - $15,000",Shelley m Capito
F,2016-06-13,Purchase,Stock,"$1,001 - $15,000",Shelley m Capito
GWW,2018-01-04,Sale,Stock,"$1,001 - $15,000",Shelley m Capito
GE,2018-01-04,Sale,Stock,"$1,001 - $15,000",Shelley m Capito
PG,2018-01-04,Sale,Stock,"$1,001 - $15,000",Shelley m Capito
NSC,2018-01-04,Sale,Stock,"$1,001 - $15,000",Shelley m Capito
MSFT,2018-01-04,Sale,Stock,"$1,001 - $15,000",Shelley m Capito
MRK,2018-01-04,Sale,Stock,"$1,001 - $15,000",Shelley m Capito
IBM,2018-01-04,Sale,Stock,"$1,001 - $15,000",Shelley m Capito
INTC,2018-01-04,Sale,Stock,"$15,001 - $50,000",Shelley m Capito
XOM,2018-01-04,Sale,Stock,"$1,001 - $15,000",Shelley m Capito
KO,2018-01-04,Sale,Stock,"$1,001 - $15,000",Shelley m Capito
C,2018-01-04,Sale,Stock,"$15,001 - $50,000",Shelley m Capito
CSCO,2018-01-04,Sale,Stock,"$1,001 - $15,000",Shelley m Capito
BMY,2018-01-04,Sale,Stock,"$1,001 - $15,000",Shelley m Capito
SLB,2018-01-26,Purchase,Stock,"$1,001 - $15,000",Shelley m Capito
INTC,2018-01-26,Purchase,Stock,"$1,001 - $15,000",Shelley m Capito
HXL,2018-01-26,Sale,Stock,"$1,001 - $15,000",Shelley m Capito
DWDP,2018-01-26,Sale,Stock,"$1,001 - $15,000",Shelley m Capito
WFC,2017-04-24,Sale,Stock,"$1,001 - $15,000",Shelley m Capito
ENB,2018-07-25,Sale,Stock,"$1,001 - $15,000",Shelley m Capito
MRK,2017-10-26,Sale,Stock,"$1,001 - $15,000",Shelley m Capito
BMY,2017-10-26,Sale,Stock,"$1,001 - $15,000",Shelley m Capito
C,2017-10-26,Sale,Stock,"$1,001 - $15,000",Shelley m Capito
GILD,2017-10-25,Purchase,Stock,"$1,001 - $15,000",Shelley m Capito
JPM,2017-10-26,Purchase,Stock,"$1,001 - $15,000",Shelley m Capito
ACN,2017-10-25,Purchase,Stock,"$1,001 - $15,000",Shelley m Capito
SJM,2017-10-06,Sale,Stock,"$1,001 - $15,000",Shelley m Capito
NVS,2021-12-15,Sale,Stock,"$1,001 - $15,000",Shelley m Capito
VZ,2021-12-28,Sale,Stock,"$1,001 - $15,000",Shelley m Capito
SPGI,2023-09-27,Purchase,Stock,"$1,001 - $15,000",Shelley m Capito
UNH,2023-09-22,Purchase,Stock,"$1,001 - $15,000",Shelley m Capito
ACN,2023-09-22,Purchase,Stock,"$1,001 - $15,000",Shelley m Capito
RTX,2023-09-21,Sale,Stock,"$1,001 - $15,000",Shelley m Capito
USB,2023-09-01,Sale,Stock,"$1,001 - $15,000",Shelley m Capito
K,2017-09-27,Sale,Stock,"$1,001 - $15,000",Shelley m Capito
HLT,2017-09-12,Purchase,Stock,"$1,001 - $15,000",Shelley m Capito
WEC,2017-09-05,Purchase,Stock,"$1,001 - $15,000",Shelley m Capito
V,2017-09-08,Purchase,Stock,"$1,001 - $15,000",Shelley m Capito
